metric,cost,group,observed_slope,percentile,cohens_d,ci_low,ci_high,p_raw,p_fdr,significant_fdr
d,0.05,Controls,0.0020909339326377133,0.9914,2.3692382631429747,-0.012203337827471105,0.0007544906920544199,0.017200000000000104,0.03440000000000021,True
d,0.05,Coma,-0.006614178728523821,0.4021,-0.24982215566231164,-0.014480714532725565,0.0034129603063517036,0.8042,0.8042,False
d,0.1,Controls,0.0016264770220892697,0.9938,2.493722199207173,-0.00615874063160934,0.0007179336658991354,0.012399999999999967,0.024799999999999933,True
d,0.1,Coma,-0.004870998910081459,0.194,-0.8873872300853083,-0.007512652639042594,0.0021460126391146224,0.388,0.388,False
d,0.15,Controls,0.001300009679899844,0.992,2.4062591260077393,-0.0043429874960548434,0.0007409391238404882,0.016000000000000014,0.03200000000000003,True
d,0.15,Coma,-0.003705378393877687,0.1517,-1.0420919690971402,-0.005377035329623142,0.0017886422121545214,0.3034,0.3034,False
d,0.2,Controls,0.0010654855866001763,0.9888,2.2928712663695148,-0.0035250627715591263,0.0007320286194477755,0.022399999999999975,0.04479999999999995,True
d,0.2,Coma,-0.0032642533292085232,0.1171,-1.2066860928461087,-0.00442951419092332,0.0016003701910581273,0.2342,0.2342,False
d,0.25,Controls,0.0008959721063933427,0.987,2.220811428762265,-0.0031031891716421867,0.0006752710703155061,0.026000000000000023,0.052000000000000046,False
d,0.25,Coma,-0.002872848299819598,0.1156,-1.210940786736738,-0.003910985229938439,0.0014279804547200731,0.2312,0.2312,False
d,0.3,Controls,0.0007943495235979352,0.983,2.1332859612815622,-0.002788742963201943,0.0006531074169217129,0.03400000000000003,0.06800000000000006,False
d,0.3,Coma,-0.0026114026511197858,0.1098,-1.2333919594471763,-0.003526377724676016,0.0013629411601632203,0.2196,0.2196,False
d,0.35,Controls,0.0007131685235339694,0.9789,2.0474533018137997,-0.002568297036014789,0.0006538664308414599,0.042200000000000015,0.08440000000000003,False
d,0.35,Coma,-0.0023298654836337567,0.1248,-1.1665078623209795,-0.003274195017500938,0.0013007787176840626,0.2496,0.2496,False
d,0.4,Controls,0.0006620675380824538,0.9789,2.0384772370000706,-0.0024558576388806464,0.0006132124036885673,0.042200000000000015,0.08440000000000003,False
d,0.4,Coma,-0.002199771564963981,0.1308,-1.1381254383740689,-0.0031407111377493276,0.0012157116372502092,0.2616,0.2616,False
d,0.45,Controls,0.0006528859805843875,0.9773,2.0107899280793053,-0.002375177012508237,0.0006181092253152164,0.04540000000000011,0.09080000000000021,False
d,0.45,Coma,-0.0020493694997957557,0.1458,-1.0686614030431614,-0.0030429142335661233,0.0012056432327494074,0.2916,0.2916,False
d,0.5,Controls,0.0006123714312214419,0.975,1.9693181339787313,-0.0023457034426659423,0.0006116388819138735,0.050000000000000044,0.10000000000000009,False
d,0.5,Coma,-0.001982634692309241,0.1557,-1.0305062639139362,-0.0030135286638592286,0.0011853288006860386,0.3114,0.3114,False
