region_idx,region_name,mean_Controls,mean_Coma,U_statistic,p_value,fdr_sig
73,7Networks_RH_SalVentAttn_TempOccPar_1,68.1,70.6429,132.0,0.7929472111697609,False
74,7Networks_RH_SalVentAttn_TempOccPar_2,73.15,63.7143,155.5,0.5992963137399326,False
75,7Networks_RH_SalVentAttn_FrOperIns_1,40.55,32.2143,177.0,0.20138188969098592,False
76,7Networks_RH_SalVentAttn_Med_1,13.2,13.2857,138.0,0.9577173715648564,False
77,7Networks_RH_SalVentAttn_Med_2,32.65,24.0,179.0,0.17774387122987734,False
78,7Networks_RH_Limbic_OFC_1,38.85,32.0714,165.5,0.38141833264332503,False
79,7Networks_RH_Limbic_TempPole_1,44.2,49.8571,124.5,0.59943600293542,False
80,7Networks_RH_Cont_Par_1,17.1,16.3571,152.0,0.6868107085751569,False
81,7Networks_RH_Cont_Par_2,22.2,23.7857,145.5,0.8607603807084354,False
82,7Networks_RH_Cont_PFCl_1,45.4,54.0714,115.0,0.39090510568933046,False
83,7Networks_RH_Cont_PFCl_2,54.05,60.3571,125.0,0.6116604628828242,False
84,7Networks_RH_Cont_PFCl_3,55.75,54.6429,140.0,1.0,False
85,7Networks_RH_Cont_PFCl_4,44.45,41.2143,147.0,0.8199771632187484,False
86,7Networks_RH_Cont_Cing_1,71.05,52.8571,188.5,0.09277559185062458,False
87,7Networks_RH_Cont_PFCmp_1,53.1,68.0,98.0,0.1462307814309993,False
88,7Networks_RH_Cont_pCun_1,52.8,43.3571,163.0,0.4307681416775143,False
89,7Networks_RH_Default_Par_1,72.2,55.1429,200.5,0.03561207802170695,False
90,7Networks_RH_Default_Temp_1,41.75,60.7857,89.5,0.08013506747395355,False
91,7Networks_RH_Default_Temp_2,29.4,29.2143,149.5,0.7526468924848999,False
92,7Networks_RH_Default_Temp_3,28.15,54.2857,85.5,0.058694715110674665,False
93,7Networks_RH_Default_PFCv_1,38.7,38.2857,153.0,0.6616936315383872,False
94,7Networks_RH_Default_PFCv_2,36.35,25.0714,186.5,0.1072830386616371,False
95,7Networks_RH_Default_PFCdPFCm_1,38.9,38.5,137.0,0.9302513565012649,False
96,7Networks_RH_Default_PFCdPFCm_2,15.75,23.7857,102.0,0.18896995523600235,False
97,7Networks_RH_Default_PFCdPFCm_3,34.8,37.2857,132.0,0.7928853338042138,False
98,7Networks_RH_Default_pCunPCC_1,55.35,43.9286,185.5,0.11522104487422373,False
99,7Networks_RH_Default_pCunPCC_2,37.8,32.5,161.0,0.4728871617778909,False
100,Hippocampus_L,50.75,46.1429,157.0,0.563593569808447,False
101,Hippocampus_R,57.65,64.1429,125.0,0.6116604628828242,False
102,Amygdala_L,68.35,58.9286,166.0,0.3719687443020111,False
103,Amygdala_R,61.95,54.6429,161.5,0.46236432750497847,False
104,Caudate_L,64.05,36.2143,218.5,0.0063323341034615885,False
105,Caudate_R,58.6,40.9286,195.5,0.05418750591184863,False
106,Putamen_L,30.95,44.7857,89.0,0.07704792580147972,False
107,Putamen_R,52.95,77.3571,66.5,0.01061714731987843,False
108,Pallidum_L,45.4,43.7857,141.0,0.9860353058647893,False
109,Pallidum_R,66.55,71.2143,126.0,0.6365113267108972,False
110,Thalamus_L,71.15,78.2143,111.5,0.32685404824684805,False
111,Thalamus_R,60.3,67.7857,119.0,0.4730225386922092,False
112,Cereb_I_II_L,81.55,65.2143,192.5,0.0685625805054314,False
113,Cereb_I_II_R,75.05,56.8571,192.5,0.06868965547237815,False
114,Cereb_III_VI_L,13.9,12.7143,131.5,0.7787967370954899,False
115,Cereb_III_VI_R,12.2,11.0714,153.5,0.6432817570285755,False
116,Cereb_VII_X_L,3.55,3.5714,167.5,0.297459946280501,False
117,Cereb_VII_X_R,18.8,16.4286,129.0,0.7122295435738378,False
118,Vermis,29.25,22.6429,171.0,0.2852568856904396,False
