region_idx,region_name,mean_Controls,mean_Coma,U_statistic,p_value,fdr_sig
0,7Networks_LH_Vis_1,3.9,3.4286,106.0,0.22155458559782903,False
1,7Networks_LH_Vis_2,22.7,14.1429,205.5,0.022840524759026173,False
2,7Networks_LH_Vis_3,15.25,8.5714,219.5,0.005614126972964197,True
3,7Networks_LH_Vis_4,7.35,13.1429,96.0,0.12650490705829828,False
4,7Networks_LH_Vis_5,15.35,12.2857,168.5,0.3261127518405704,False
5,7Networks_LH_Vis_6,14.15,7.5714,225.5,0.0028453462468663246,True
6,7Networks_LH_Vis_7,13.35,12.0,164.5,0.40014119698768214,False
7,7Networks_LH_Vis_8,13.1,11.4286,159.5,0.5055206317614043,False
8,7Networks_LH_Vis_9,15.45,13.8571,164.5,0.40043003095689356,False
9,7Networks_LH_SomMot_1,20.95,8.3571,250.0,0.0001233678666420893,True
10,7Networks_LH_SomMot_2,8.0,6.9286,176.5,0.20053003778465361,False
11,7Networks_LH_SomMot_3,18.75,10.8571,213.0,0.011021208843454889,True
12,7Networks_LH_SomMot_4,9.65,13.1429,118.0,0.45066606277429866,False
13,7Networks_LH_SomMot_5,25.4,14.5,219.0,0.005931285244391375,True
14,7Networks_LH_SomMot_6,27.45,17.7857,222.0,0.0043042116288245355,True
15,7Networks_LH_DorsAttn_Post_1,24.05,20.3571,180.0,0.16642010382655903,False
16,7Networks_LH_DorsAttn_Post_2,10.75,11.4286,145.0,0.8745626411963028,False
17,7Networks_LH_DorsAttn_Post_3,16.4,18.6429,133.0,0.8198009969392596,False
18,7Networks_LH_DorsAttn_Post_4,10.3,8.2857,167.5,0.34268609885014534,False
19,7Networks_LH_DorsAttn_Post_5,19.0,20.5714,140.0,1.0,False
20,7Networks_LH_DorsAttn_Post_6,17.6,12.1429,193.0,0.0658405270706056,False
21,7Networks_LH_DorsAttn_PrCv_1,10.55,12.8571,129.5,0.7258097254884823,False
22,7Networks_LH_DorsAttn_FEF_1,20.2,18.0,156.0,0.58709455364554,False
23,7Networks_LH_SalVentAttn_ParOper_1,8.75,9.7143,150.0,0.73856123346718,False
24,7Networks_LH_SalVentAttn_FrOperIns_1,9.85,8.1429,177.0,0.1992736064147791,False
25,7Networks_LH_SalVentAttn_FrOperIns_2,9.45,9.5,164.5,0.39847248708202254,False
