Cost,Metric,Group_A,Group_B,N_A,N_B,T_stat,P_value
0.05,d,Controls,Coma,20,14,5.91805245965522,1.37618225587216E-06
0.05,d,Controls,Anoxic,20,5,3.76050164963679,0.00101772960619098
0.05,d,Controls,Traumatic,20,9,5.45508498746391,8.99044547039563E-06
0.05,d,Controls,Favorable,20,8,5.75424320444196,4.65142931768401E-06
0.05,d,Controls,Unfavorable,20,6,3.63268479852135,0.00132525415924613
0.05,d,Favorable,Unfavorable,8,6,-1.43042921343764,0.178113618554834
0.05,d,Anoxic,Traumatic,5,9,0.41475613365101,0.685639027731889
0.1,d,Controls,Coma,20,14,7.36234090642709,2.25642085570988E-08
0.1,d,Controls,Anoxic,20,5,4.7820495049966,8.01518759624293E-05
0.1,d,Controls,Traumatic,20,9,7.01215178422638,1.54417073500317E-07
0.1,d,Controls,Favorable,20,8,6.83412205222025,2.96762806251041E-07
0.1,d,Controls,Unfavorable,20,6,5.10464328191054,3.18935889423934E-05
0.1,d,Favorable,Unfavorable,8,6,-0.861757347426201,0.405712517445219
0.1,d,Anoxic,Traumatic,5,9,0.368516591623218,0.718907276536972
0.15,d,Controls,Coma,20,14,7.77860710425838,7.16569903588046E-09
0.15,d,Controls,Anoxic,20,5,4.981220642361,4.88665185465912E-05
0.15,d,Controls,Traumatic,20,9,7.71934242610122,2.65794473049753E-08
0.15,d,Controls,Favorable,20,8,7.44674478331705,6.60008437138791E-08
0.15,d,Controls,Unfavorable,20,6,5.41899453773051,1.44427508079449E-05
0.15,d,Favorable,Unfavorable,8,6,-0.580237622036834,0.572489025178127
0.15,d,Anoxic,Traumatic,5,9,0.461063015237075,0.652998142604979
0.2,d,Controls,Coma,20,14,7.61317056396961,1.12774450351357E-08
0.2,d,Controls,Anoxic,20,5,4.9129932197747,5.78819540647008E-05
0.2,d,Controls,Traumatic,20,9,7.75737313631646,2.4222863907603E-08
0.2,d,Controls,Favorable,20,8,7.4423960073784,6.66979314741058E-08
0.2,d,Controls,Unfavorable,20,6,5.29204399236515,1.98733947071444E-05
0.2,d,Favorable,Unfavorable,8,6,-0.586618972544228,0.568331303039826
0.2,d,Anoxic,Traumatic,5,9,0.257039223244088,0.801502809469189
0.25,d,Controls,Coma,20,14,7.66702544956591,9.72622370648664E-09
0.25,d,Controls,Anoxic,20,5,4.95659429540175,5.19446800149468E-05
0.25,d,Controls,Traumatic,20,9,7.81727296526779,2.09354976358216E-08
0.25,d,Controls,Favorable,20,8,7.54642621339738,5.19096576120705E-08
0.25,d,Controls,Unfavorable,20,6,5.30765416970063,1.91073894069479E-05
0.25,d,Favorable,Unfavorable,8,6,-0.50703056342297,0.621321546111469
0.25,d,Anoxic,Traumatic,5,9,0.22364277214909,0.826797353234212
0.3,d,Controls,Coma,20,14,7.80754740568789,6.62138357800112E-09
0.3,d,Controls,Anoxic,20,5,5.38460329560854,1.80590637791694E-05
0.3,d,Controls,Traumatic,20,9,7.45314661182565,5.11696477946019E-08
0.3,d,Controls,Favorable,20,8,7.25139510711214,1.06057751851185E-07
0.3,d,Controls,Unfavorable,20,6,5.75834746744083,6.19034637085328E-06
0.3,d,Favorable,Unfavorable,8,6,-0.0212842725055755,0.983368710046542
0.3,d,Anoxic,Traumatic,5,9,0.0664105886577692,0.948144564184836
0.35,d,Controls,Coma,20,14,8.2425151036094,2.04448352388232E-09
0.35,d,Controls,Anoxic,20,5,5.70769173449517,8.20918926892194E-06
0.35,d,Controls,Traumatic,20,9,7.80565667321744,2.15353253263706E-08
0.35,d,Controls,Favorable,20,8,7.27672154290288,9.97053400355359E-08
0.35,d,Controls,Unfavorable,20,6,6.36535062639594,1.39731878895822E-06
0.35,d,Favorable,Unfavorable,8,6,0.176879171725501,0.862553560033252
0.35,d,Anoxic,Traumatic,5,9,-0.00600717375067569,0.995305708977023
0.4,d,Controls,Coma,20,14,8.33600380795703,1.59300296049732E-09
0.4,d,Controls,Anoxic,20,5,5.83752327743173,5.9962272782983E-06
0.4,d,Controls,Traumatic,20,9,7.72708069103386,2.60816603234398E-08
0.4,d,Controls,Favorable,20,8,6.83664247985437,2.94905619692044E-07
0.4,d,Controls,Unfavorable,20,6,6.87648853031464,4.11904880149122E-07
0.4,d,Favorable,Unfavorable,8,6,0.457335242718706,0.655599370626909
0.4,d,Anoxic,Traumatic,5,9,-0.155665780280023,0.878884383522978
0.45,d,Controls,Coma,20,14,8.28281741359304,1.83573031419564E-09
0.45,d,Controls,Anoxic,20,5,5.84235721961444,5.92669630280534E-06
0.45,d,Controls,Traumatic,20,9,7.60671915599287,3.5028546365965E-08
0.45,d,Controls,Favorable,20,8,6.4723081035978,7.36311202408761E-07
0.45,d,Controls,Unfavorable,20,6,7.20240822610891,1.92229320513193E-07
0.45,d,Favorable,Unfavorable,8,6,0.709634505723345,0.491490203840083
0.45,d,Anoxic,Traumatic,5,9,-0.28648575414529,0.779392192505223
0.5,d,Controls,Coma,20,14,8.06900738179835,3.25806781983296E-09
0.5,d,Controls,Anoxic,20,5,5.98540433337127,4.20131524797335E-06
0.5,d,Controls,Traumatic,20,9,7.21787826495594,9.19688477600809E-08
0.5,d,Controls,Favorable,20,8,6.18128227486761,1.5450756064293E-06
0.5,d,Controls,Unfavorable,20,6,7.21817413907377,1.85335357701529E-07
0.5,d,Favorable,Unfavorable,8,6,0.821168018448799,0.427563580073393
0.5,d,Anoxic,Traumatic,5,9,-0.594298051912821,0.563349751549152
