metric,cost,group,observed_slope,percentile,cohens_d,ci_low,ci_high,p_raw,p_fdr,significant_fdr
d,0.05,Controls,-0.0028435327704317936,0.361,-0.34652207892949916,-0.016964419618038316,0.016719617359061353,0.722,0.722,False
d,0.05,Coma,-0.005581679902942059,0.1753,-0.9322715193731282,-0.01169348230170913,0.011648261079445409,0.3506,0.7012,False
d,0.1,Controls,-0.0007633057090623131,0.4384,-0.15514801730977235,-0.009454957449636326,0.00912838848427115,0.8768,0.8768,False
d,0.1,Coma,-0.0035515076201024726,0.1514,-1.0283321853504641,-0.006740922130622126,0.006828597834493559,0.3028,0.6056,False
d,0.15,Controls,-0.00025400731737126246,0.4737,-0.06705220441960398,-0.006912281782636806,0.006924443631745283,0.9474,0.9474,False
d,0.15,Coma,-0.002873619739809308,0.1287,-1.1086465463215618,-0.00508767739731744,0.005169459571106996,0.2574,0.5148,False
d,0.2,Controls,-5.4895635768364124e-05,0.4942,-0.022500669043056115,-0.00572390724290577,0.005846211910542232,0.9884,0.9884,False
d,0.2,Coma,-0.0024650380280255547,0.1299,-1.1256618427808414,-0.004329622910699923,0.004309771538586759,0.2598,0.5196,False
d,0.25,Controls,4.5730267532246435e-05,0.5071,0.0245199433985792,-0.005175561743548146,0.005045493847740271,0.9858,0.9858,False
d,0.25,Coma,-0.0023806420438618136,0.1152,-1.2108624467336522,-0.003816985959424534,0.0037959753717776317,0.2304,0.4608,False
d,0.3,Controls,0.00014386045419913454,0.5219,0.05731843243199802,-0.004521525305242551,0.0046477029774550285,0.9561999999999999,0.9561999999999999,False
d,0.3,Coma,-0.0022906594645058453,0.0944,-1.3136704996372341,-0.0034224384458141294,0.0034412360579022085,0.1888,0.3776,False
d,0.35,Controls,0.000147029829220346,0.5317,0.08486284899589913,-0.004343171272010064,0.004169113166717255,0.9366000000000001,0.9366000000000001,False
d,0.35,Coma,-0.0021716787498373986,0.094,-1.324062547456003,-0.0032152160477623023,0.003153782973659265,0.188,0.376,False
d,0.4,Controls,0.0002047600150334093,0.5277,0.0782335043700188,-0.0040688219305193675,0.0041096932062271605,0.9446000000000001,0.9446000000000001,False
d,0.4,Coma,-0.0020589053167689307,0.0901,-1.328891957708562,-0.0030363226509571573,0.003110254366617108,0.1802,0.3604,False
d,0.45,Controls,0.00027563666674681466,0.5552,0.14395662971655906,-0.0038777693889509475,0.003930434353469502,0.8896,0.8896,False
d,0.45,Coma,-0.001972383401219314,0.0999,-1.2994280736794572,-0.002977807524474614,0.0028946232113818363,0.1998,0.3996,False
d,0.5,Controls,0.00029113047769672735,0.5558,0.1416692635679862,-0.003849505253537119,0.00386890820317167,0.8884000000000001,0.8884000000000001,False
d,0.5,Coma,-0.0019540701117007546,0.094,-1.3282728426759605,-0.002888878534261765,0.0028490332124865457,0.188,0.376,False
