cost,metric,group1,group2,n1,n2,U,p
0.35000000000000003,avg_clustering,AE,TE,5,8,19.0,0.9432789432789432
0.35000000000000003,avg_path_length,Controls,AE,20,5,84.0,0.019160549595332203
0.35000000000000003,avg_path_length,Controls,TE,20,8,123.0,0.028482306743176304
0.35000000000000003,avg_path_length,AE,TE,5,8,17.0,0.7241647241647241
0.35000000000000003,small_worldness,Controls,AE,20,5,86.0,0.01219649915302089
0.35000000000000003,small_worldness,Controls,TE,20,8,116.0,0.07045772263163567
0.35000000000000003,small_worldness,AE,TE,5,8,19.0,0.9432789432789432
0.4,global_efficiency,Controls,AE,20,5,15.0,0.01535855448898927
0.4,global_efficiency,Controls,TE,20,8,39.0,0.037520611433654906
0.4,global_efficiency,AE,TE,5,8,24.0,0.6216006216006216
0.4,avg_clustering,Controls,AE,20,5,89.0,0.00564652738565782
0.4,avg_clustering,Controls,TE,20,8,128.0,0.013390152520587301
0.4,avg_clustering,AE,TE,5,8,19.0,0.9432789432789432
0.4,avg_path_length,Controls,AE,20,5,85.0,0.01535855448898927
0.4,avg_path_length,Controls,TE,20,8,121.0,0.037520611433654906
0.4,avg_path_length,AE,TE,5,8,16.0,0.6216006216006216
0.4,small_worldness,Controls,AE,20,5,89.0,0.00564652738565782
0.4,small_worldness,Controls,TE,20,8,118.0,0.055294785729568335
0.4,small_worldness,AE,TE,5,8,19.0,0.9432789432789432
0.45,global_efficiency,Controls,AE,20,5,14.5,0.017395538889235063
0.45,global_efficiency,Controls,TE,20,8,37.0,0.03057878068836195
0.45,global_efficiency,AE,TE,5,8,25.0,0.5077263949330457
0.45,avg_clustering,Controls,AE,20,5,88.0,0.007415772633163937
0.45,avg_clustering,Controls,TE,20,8,128.0,0.013390152520587301
0.45,avg_clustering,AE,TE,5,8,18.0,0.8329448329448329
0.45,avg_path_length,Controls,AE,20,5,85.5,0.017395538889235063
0.45,avg_path_length,Controls,TE,20,8,122.5,0.03256848799744738
0.45,avg_path_length,AE,TE,5,8,15.0,0.5077263949330457
0.45,small_worldness,Controls,AE,20,5,89.0,0.00564652738565782
0.45,small_worldness,Controls,TE,20,8,128.0,0.013390152520587301
0.45,small_worldness,AE,TE,5,8,18.0,0.8329448329448329
0.5,global_efficiency,Controls,AE,20,5,12.0,0.010785112337194015
0.5,global_efficiency,Controls,TE,20,8,31.0,0.013594355327900456
0.5,global_efficiency,AE,TE,5,8,26.0,0.4142656316192149
0.5,avg_clustering,Controls,AE,20,5,89.0,0.00564652738565782
0.5,avg_clustering,Controls,TE,20,8,128.0,0.013390152520587301
0.5,avg_clustering,AE,TE,5,8,16.0,0.6216006216006216
0.5,avg_path_length,Controls,AE,20,5,88.5,0.0097639844803635
0.5,avg_path_length,Controls,TE,20,8,129.0,0.013594355327900456
0.5,avg_path_length,AE,TE,5,8,14.0,0.4142656316192149
0.5,small_worldness,Controls,AE,20,5,89.0,0.00564652738565782
0.5,small_worldness,Controls,TE,20,8,126.0,0.01832627919584441
0.5,small_worldness,AE,TE,5,8,16.0,0.6216006216006216
