cost,metric,group1,group2,n1,n2,U,p
0.35000000000000003,avg_path_length,Controls,AE,20,5,52.0,0.9214756258234517
0.35000000000000003,avg_path_length,Controls,TE,20,9,114.0,0.2679479306138439
0.35000000000000003,avg_path_length,AE,TE,5,9,28.0,0.5184815184815185
0.35000000000000003,small_worldness,Controls,AE,20,5,41.0,0.5748917748917748
0.35000000000000003,small_worldness,Controls,TE,20,9,58.0,0.13756389390990328
0.35000000000000003,small_worldness,AE,TE,5,9,26.0,0.6993006993006993
0.4,global_efficiency,Controls,AE,20,5,56.0,0.7172971955580649
0.4,global_efficiency,Controls,TE,20,9,69.0,0.33385443443022034
0.4,global_efficiency,AE,TE,5,9,15.0,0.36363636363636365
0.4,avg_clustering,Controls,AE,20,5,24.0,0.08322981366459627
0.4,avg_clustering,Controls,TE,20,9,89.0,0.9811954217291824
0.4,avg_clustering,AE,TE,5,9,34.0,0.14685314685314685
0.4,avg_path_length,Controls,AE,20,5,50.0,1.0
0.4,avg_path_length,Controls,TE,20,9,112.0,0.3108119818682441
0.4,avg_path_length,AE,TE,5,9,29.0,0.43756243756243757
0.4,small_worldness,Controls,AE,20,5,37.0,0.4076039902126858
0.4,small_worldness,Controls,TE,20,9,67.0,0.2888443663464849
0.4,small_worldness,AE,TE,5,9,25.0,0.7972027972027972
0.45,global_efficiency,Controls,AE,20,5,51.0,0.9737624694146431
0.45,global_efficiency,Controls,TE,20,9,65.0,0.24811455704182062
0.45,global_efficiency,AE,TE,5,9,17.0,0.5184815184815185
0.45,avg_clustering,Controls,AE,20,5,31.0,0.21633728590250326
0.45,avg_clustering,Controls,TE,20,9,98.0,0.7236736098317631
0.45,avg_clustering,AE,TE,5,9,31.0,0.2977022977022977
0.45,avg_path_length,Controls,AE,20,5,54.0,0.8179559570863917
0.45,avg_path_length,Controls,TE,20,9,115.0,0.24811455704182062
0.45,avg_path_length,AE,TE,5,9,27.0,0.6063936063936064
0.45,small_worldness,Controls,AE,20,5,39.0,0.4875964615095049
0.45,small_worldness,Controls,TE,20,9,70.0,0.35797067264432825
0.45,small_worldness,AE,TE,5,9,25.0,0.7972027972027972
0.5,global_efficiency,Controls,AE,20,5,44.0,0.7172971955580649
0.5,global_efficiency,Controls,TE,20,9,59.0,0.15049541055067556
0.5,global_efficiency,AE,TE,5,9,16.0,0.43756243756243757
0.5,avg_clustering,Controls,AE,20,5,29.0,0.16901938641069073
0.5,avg_clustering,Controls,TE,20,9,93.0,0.9061856157549283
0.5,avg_clustering,AE,TE,5,9,33.0,0.18981018981018982
0.5,avg_path_length,Controls,AE,20,5,59.0,0.5748917748917748
0.5,avg_path_length,Controls,TE,20,9,117.0,0.21158389479778583
0.5,avg_path_length,AE,TE,5,9,22.0,1.0
0.5,small_worldness,Controls,AE,20,5,25.0,0.09696969696969696
0.5,small_worldness,Controls,TE,20,9,69.0,0.33385443443022034
0.5,small_worldness,AE,TE,5,9,28.0,0.5184815184815185
