cost,metric,group1,group2,n1,n2,U,p
0.35000000000000003,avg_path_length,Controls,FO,20,8,91.0,0.6005099570316963
0.35000000000000003,avg_path_length,Controls,UO,20,6,84.0,0.15653911306085216
0.35000000000000003,avg_path_length,FO,UO,8,6,32.0,0.344988344988345
0.35000000000000003,small_worldness,Controls,FO,20,8,126.0,0.01832627919584441
0.35000000000000003,small_worldness,Controls,UO,20,6,105.0,0.004326108673934761
0.35000000000000003,small_worldness,FO,UO,8,6,33.0,0.2823842823842824
0.4,global_efficiency,Controls,FO,20,8,66.0,0.5002340654514569
0.4,global_efficiency,Controls,UO,20,6,33.0,0.10821352560482993
0.4,global_efficiency,FO,UO,8,6,16.0,0.344988344988345
0.4,avg_clustering,Controls,FO,20,8,119.0,0.048748674835631355
0.4,avg_clustering,Controls,UO,20,6,102.0,0.008652217347869522
0.4,avg_clustering,FO,UO,8,6,31.0,0.4135864135864136
0.4,avg_path_length,Controls,FO,20,8,94.0,0.5002340654514569
0.4,avg_path_length,Controls,UO,20,6,87.0,0.10821352560482993
0.4,avg_path_length,FO,UO,8,6,32.0,0.344988344988345
0.4,small_worldness,Controls,FO,20,8,127.0,0.01569509395596352
0.4,small_worldness,Controls,UO,20,6,108.0,0.001971941102375885
0.4,small_worldness,FO,UO,8,6,34.0,0.22843822843822847
0.45,global_efficiency,Controls,FO,20,8,58.0,0.28059219363567195
0.45,global_efficiency,Controls,UO,20,6,29.0,0.062242105720366585
0.45,global_efficiency,FO,UO,8,6,18.0,0.4908424908424909
0.45,avg_clustering,Controls,FO,20,8,123.0,0.028482306743176304
0.45,avg_clustering,Controls,UO,20,6,104.0,0.0055075359423185505
0.45,avg_clustering,FO,UO,8,6,31.0,0.4135864135864136
0.45,avg_path_length,Controls,FO,20,8,101.5,0.2854771276728352
0.45,avg_path_length,Controls,UO,20,6,91.0,0.062242105720366585
0.45,avg_path_length,FO,UO,8,6,30.0,0.4908424908424909
0.45,small_worldness,Controls,FO,20,8,125.0,0.02130751695969087
0.45,small_worldness,Controls,UO,20,6,106.0,0.0033705425009772838
0.45,small_worldness,FO,UO,8,6,32.0,0.344988344988345
0.5,global_efficiency,Controls,FO,20,8,58.0,0.28059219363567195
0.5,global_efficiency,Controls,UO,20,6,24.0,0.027859097424314812
0.5,global_efficiency,FO,UO,8,6,12.0,0.14185814185814188
0.5,avg_clustering,Controls,FO,20,8,121.0,0.037520611433654906
0.5,avg_clustering,Controls,UO,20,6,105.0,0.004326108673934761
0.5,avg_clustering,FO,UO,8,6,33.0,0.2823842823842824
0.5,avg_path_length,Controls,FO,20,8,102.0,0.2741624616532641
0.5,avg_path_length,Controls,UO,20,6,96.0,0.030708427130430933
0.5,avg_path_length,FO,UO,8,6,35.5,0.15512584494027964
0.5,small_worldness,Controls,FO,20,8,125.0,0.02130751695969087
0.5,small_worldness,Controls,UO,20,6,106.0,0.0033705425009772838
0.5,small_worldness,FO,UO,8,6,33.0,0.2823842823842824
