cost,metric,group1,group2,n1,n2,U,p
0.3,avg_path_length,Controls,UO,20,5,79.0,0.05063052889139845
0.3,avg_path_length,FO,UO,8,5,34.0,0.04506604506604507
0.3,small_worldness,Controls,FO,20,8,72.0,0.708636291244987
0.3,small_worldness,Controls,UO,20,5,11.0,0.00564652738565782
0.3,small_worldness,FO,UO,8,5,4.0,0.018648018648018648
0.35000000000000003,global_efficiency,Controls,FO,20,8,76.0,0.8616665138404269
0.35000000000000003,global_efficiency,Controls,UO,20,5,29.0,0.16901938641069073
0.35000000000000003,global_efficiency,FO,UO,8,5,8.0,0.09324009324009325
0.35000000000000003,avg_clustering,Controls,FO,20,8,62.0,0.3811473550603986
0.35000000000000003,avg_clustering,Controls,UO,20,5,12.0,0.007415772633163937
0.35000000000000003,avg_clustering,FO,UO,8,5,9.0,0.12742812742812742
0.35000000000000003,avg_path_length,Controls,FO,20,8,79.0,0.9801387018778324
0.35000000000000003,avg_path_length,Controls,UO,20,5,80.0,0.04234895539243365
0.35000000000000003,avg_path_length,FO,UO,8,5,35.0,0.029526029526029528
0.35000000000000003,small_worldness,Controls,FO,20,8,76.0,0.8616665138404269
0.35000000000000003,small_worldness,Controls,UO,20,5,10.0,0.004253717297195558
0.35000000000000003,small_worldness,FO,UO,8,5,6.0,0.04506604506604507
0.4,global_efficiency,Controls,FO,20,8,77.0,0.9009483270352836
0.4,global_efficiency,Controls,UO,20,5,26.0,0.11236589497459061
0.4,global_efficiency,FO,UO,8,5,7.0,0.06526806526806528
0.4,avg_clustering,Controls,FO,20,8,46.0,0.08868941042854087
0.4,avg_clustering,Controls,UO,20,5,16.0,0.019160549595332203
0.4,avg_clustering,FO,UO,8,5,12.0,0.28438228438228436
0.4,avg_path_length,Controls,FO,20,8,81.0,0.9801387018778324
0.4,avg_path_length,Controls,UO,20,5,81.0,0.03512140033879164
0.4,avg_path_length,FO,UO,8,5,34.0,0.04506604506604507
0.4,small_worldness,Controls,FO,20,8,68.0,0.5661385313559228
0.4,small_worldness,Controls,UO,20,5,13.0,0.009561453039713909
0.4,small_worldness,FO,UO,8,5,8.0,0.09324009324009325
0.45,global_efficiency,Controls,FO,20,8,80.0,1.0
0.45,global_efficiency,Controls,UO,20,5,22.0,0.060154338415207974
0.45,global_efficiency,FO,UO,8,5,5.0,0.029526029526029528
0.45,avg_clustering,Controls,FO,20,8,52.0,0.16525181742573047
0.45,avg_clustering,Controls,UO,20,5,22.0,0.060154338415207974
0.45,avg_clustering,FO,UO,8,5,14.0,0.43512043512043513
0.45,avg_path_length,Controls,FO,20,8,80.0,1.0
0.45,avg_path_length,Controls,UO,20,5,83.0,0.023640127987954073
0.45,avg_path_length,FO,UO,8,5,35.0,0.029526029526029528
0.45,small_worldness,Controls,FO,20,8,66.0,0.5002340654514569
0.45,small_worldness,Controls,UO,20,5,9.0,0.003124411820063994
0.45,small_worldness,FO,UO,8,5,6.0,0.04506604506604507
0.5,global_efficiency,Controls,FO,20,8,82.0,0.9404817404817405
0.5,global_efficiency,Controls,UO,20,5,18.0,0.028947863730472423
0.5,global_efficiency,FO,UO,8,5,4.0,0.018648018648018648
0.5,avg_clustering,Controls,FO,20,8,44.0,0.07045772263163567
0.5,avg_clustering,Controls,UO,20,5,25.0,0.09696969696969696
0.5,avg_clustering,FO,UO,8,5,15.0,0.5236985236985237
0.5,avg_path_length,Controls,FO,20,8,78.0,0.9404817404817405
0.5,avg_path_length,Controls,UO,20,5,85.0,0.01535855448898927
0.5,avg_path_length,FO,UO,8,5,35.0,0.029526029526029528
0.5,small_worldness,Controls,FO,20,8,67.0,0.5326840631188459
0.5,small_worldness,Controls,UO,20,5,8.0,0.002258610954263128
0.5,small_worldness,FO,UO,8,5,3.0,0.010878010878010878
