cost,metric,group1,group2,n1,n2,U,p
0.4,avg_clustering,FO,UO,8,6,35.0,0.18115218115218118
0.4,avg_path_length,Controls,FO,20,8,79.0,0.9801387018778324
0.4,avg_path_length,Controls,UO,20,6,83.0,0.17558962776354078
0.4,avg_path_length,FO,UO,8,6,31.0,0.4135864135864136
0.4,small_worldness,Controls,FO,20,8,104.0,0.23748361139665491
0.4,small_worldness,Controls,UO,20,6,69.0,0.6139686400555965
0.4,small_worldness,FO,UO,8,6,20.0,0.662004662004662
0.45,global_efficiency,Controls,FO,20,8,69.0,0.6005099570316963
0.45,global_efficiency,Controls,UO,20,6,31.0,0.08283021326499586
0.45,global_efficiency,FO,UO,8,6,14.0,0.22843822843822847
0.45,avg_clustering,Controls,FO,20,8,99.0,0.35421776291341517
0.45,avg_clustering,Controls,UO,20,6,97.0,0.023298440689745036
0.45,avg_clustering,FO,UO,8,6,33.0,0.2823842823842824
0.45,avg_path_length,Controls,FO,20,8,91.0,0.6005099570316963
0.45,avg_path_length,Controls,UO,20,6,89.0,0.08283021326499586
0.45,avg_path_length,FO,UO,8,6,34.0,0.22843822843822847
0.45,small_worldness,Controls,FO,20,8,91.0,0.6005099570316963
0.45,small_worldness,Controls,UO,20,6,67.0,0.6999435347261433
0.45,small_worldness,FO,UO,8,6,22.0,0.8518148518148518
0.5,global_efficiency,Controls,FO,20,8,65.0,0.4688039818474602
0.5,global_efficiency,Controls,UO,20,6,32.0,0.09490509490509488
0.5,global_efficiency,FO,UO,8,6,14.0,0.22843822843822847
0.5,avg_clustering,Controls,FO,20,8,99.0,0.35421776291341517
0.5,avg_clustering,Controls,UO,20,6,103.0,0.006923511271337357
0.5,avg_clustering,FO,UO,8,6,39.0,0.05927405927405928
0.5,avg_path_length,Controls,FO,20,8,94.0,0.5002340654514569
0.5,avg_path_length,Controls,UO,20,6,88.5,0.08832186282693014
0.5,avg_path_length,FO,UO,8,6,34.0,0.22843822843822847
0.5,small_worldness,Controls,FO,20,8,87.0,0.746092554788207
0.5,small_worldness,Controls,UO,20,6,71.0,0.5327368283890023
0.5,small_worldness,FO,UO,8,6,26.0,0.8518148518148518
