region_idx,region_name,mean_Controls,mean_Coma,U_statistic,p_value,fdr_sig
0,HIP-rh,5.0,10.2857,91.5,0.08932501146846349,False
1,AMY-rh,1.75,3.1429,123.5,0.5490997961643433,False
2,pTHA-rh,2.0,5.6429,87.0,0.05747508412174557,False
3,aTHA-rh,2.05,6.6429,84.5,0.03641398364961929,False
4,NAc-rh,4.45,6.0,116.5,0.4149365944462804,False
5,GP-rh,2.75,4.0,131.0,0.7540517947200716,False
6,PUT-rh,12.0,12.0714,138.5,0.9720106458635236,False
7,CAU-rh,3.65,3.5,180.0,0.1516126438079028,False
8,HIP-lh,6.9,4.2857,129.5,0.7216378405851462,False
9,AMY-lh,1.55,1.9286,130.0,0.7109027981721391,False
10,pTHA-lh,1.55,4.7143,101.5,0.1521631791710741,False
11,aTHA-lh,1.45,5.9286,79.0,0.02219040825392044,False
12,NAc-lh,5.3,5.9286,128.0,0.675844359668992,False
13,GP-lh,2.5,3.2143,164.5,0.36421784161260573,False
14,PUT-lh,11.1,12.5714,132.0,0.79259065701776,False
15,CAU-lh,3.35,2.7857,134.5,0.8548247148413938,False
16,7Networks_LH_Vis_1,7.75,17.7143,54.5,0.0028774579117796075,False
17,7Networks_LH_Vis_2,8.65,8.5714,135.0,0.8741788266541439,False
18,7Networks_LH_Vis_3,5.05,6.6429,108.0,0.2552184735896512,False
19,7Networks_LH_Vis_4,8.65,14.4286,94.5,0.11408090745270696,False
20,7Networks_LH_Vis_5,1.4,1.5714,122.0,0.468954205469293,False
21,7Networks_LH_Vis_6,5.85,4.5,168.0,0.32839682746850163,False
22,7Networks_LH_Vis_7,2.65,1.4286,196.0,0.030993068002455507,False
23,7Networks_LH_Vis_8,16.45,12.6429,180.5,0.16063849446949996,False
24,7Networks_LH_Vis_9,9.3,8.2857,169.0,0.31658071785771025,False
25,7Networks_LH_Vis_10,8.95,12.8571,103.5,0.20685984426346404,False
26,7Networks_LH_Vis_11,11.75,12.2143,147.5,0.8060597917779773,False
27,7Networks_LH_Vis_12,8.95,13.0714,108.5,0.27491975471418406,False
28,7Networks_LH_Vis_13,8.55,6.6429,149.5,0.7499682203692215,False
29,7Networks_LH_Vis_14,14.9,10.6429,183.5,0.13175380536150927,False
30,7Networks_LH_SomMot_1,16.45,13.2857,176.0,0.21313082880108702,False
31,7Networks_LH_SomMot_2,17.0,15.0714,161.5,0.4616102381419652,False
32,7Networks_LH_SomMot_3,12.55,15.7143,100.0,0.16606295775267632,False
33,7Networks_LH_SomMot_4,16.3,13.3571,185.0,0.11880730741345337,False
34,7Networks_LH_SomMot_5,13.35,15.0,118.0,0.4512216211942024,False
35,7Networks_LH_SomMot_6,14.9,14.2857,144.0,0.9024119172485545,False
36,7Networks_LH_SomMot_7,10.65,11.9286,142.0,0.9580460436690211,False
37,7Networks_LH_SomMot_8,7.9,15.2857,95.5,0.1227486499051531,False
38,7Networks_LH_SomMot_9,3.4,4.1429,123.5,0.5634818623747369,False
39,7Networks_LH_SomMot_10,12.6,10.8571,158.0,0.5382354116319086,False
40,7Networks_LH_SomMot_11,8.3,5.4286,173.5,0.24499113679186935,False
41,7Networks_LH_SomMot_12,10.55,13.9286,113.0,0.35295684024574236,False
42,7Networks_LH_SomMot_13,11.0,7.2143,177.5,0.19445621809398173,False
43,7Networks_LH_SomMot_14,12.15,12.8571,135.5,0.8885730335780824,False
44,7Networks_LH_SomMot_15,14.35,17.0714,117.0,0.4299554975169966,False
45,7Networks_LH_SomMot_16,9.05,6.7857,169.0,0.31628226587100405,False
46,7Networks_LH_DorsAttn_Post_1,15.45,16.7857,135.0,0.874600829765408,False
47,7Networks_LH_DorsAttn_Post_2,11.5,11.6429,147.5,0.8058552440641931,False
48,7Networks_LH_DorsAttn_Post_3,13.45,11.5714,155.5,0.598820279073865,False
49,7Networks_LH_DorsAttn_Post_4,10.8,14.4286,108.5,0.2769180676467634,False
50,7Networks_LH_DorsAttn_Post_5,8.4,11.0714,103.5,0.2067205114337647,False
51,7Networks_LH_DorsAttn_Post_6,11.3,11.2857,145.5,0.860855519379508,False
52,7Networks_LH_DorsAttn_Post_7,8.9,8.9286,173.5,0.24663086218687347,False
53,7Networks_LH_DorsAttn_Post_8,5.5,6.0,167.5,0.34138074246810723,False
54,7Networks_LH_DorsAttn_Post_9,14.1,9.7857,191.0,0.07573741678907098,False
55,7Networks_LH_DorsAttn_Post_10,10.45,10.7143,159.5,0.5044738124146958,False
56,7Networks_LH_DorsAttn_FEF_1,14.65,14.0,156.5,0.5750621301739497,False
57,7Networks_LH_DorsAttn_FEF_2,13.3,13.2143,144.5,0.8884966923635761,False
58,7Networks_LH_DorsAttn_PrCv_1,13.65,12.5,162.5,0.44016991343416245,False
59,7Networks_LH_SalVentAttn_ParOper_1,21.25,15.8571,194.5,0.058443683690085416,False
60,7Networks_LH_SalVentAttn_ParOper_2,12.1,14.0,136.0,0.9024119172485545,False
61,7Networks_LH_SalVentAttn_ParOper_3,7.75,14.5,95.0,0.11750592031609088,False
62,7Networks_LH_SalVentAttn_FrOperIns_1,8.6,13.0714,103.0,0.20065760307674463,False
63,7Networks_LH_SalVentAttn_FrOperIns_2,9.15,12.7143,98.0,0.14548970856092033,False
64,7Networks_LH_SalVentAttn_FrOperIns_3,5.6,10.7857,78.0,0.029660431842364367,False
65,7Networks_LH_SalVentAttn_FrOperIns_4,15.9,10.2857,201.0,0.033570580951217115,False
66,7Networks_LH_SalVentAttn_PFCl_1,16.25,12.3571,173.0,0.2537165684982615,False
