metric,cost,group,observed_slope,percentile,cohens_d,ci_low,ci_high,p_raw,p_fdr,significant_fdr
d,0.05,Controls,0.0020909339326377133,0.6111,0.27822298229478365,-0.014668441378616646,0.014746126735637476,0.7778,0.7778,False
d,0.05,Coma,-0.006614178728523821,0.21,-0.7985478625249613,-0.0160680422245151,0.016195929101619478,0.42,0.7778,False
d,0.1,Controls,0.0016264770220892697,0.6594,0.41454899687488306,-0.00770151756272614,0.007471197831653256,0.6812,0.6812,False
d,0.1,Coma,-0.004870998910081459,0.1383,-1.0900306951432774,-0.00875980250862252,0.00877008432339058,0.2766,0.5532,False
d,0.15,Controls,0.001300009679899844,0.6841,0.46406771829761834,-0.00545075923521501,0.0054591378039779235,0.6317999999999999,0.6317999999999999,False
d,0.15,Coma,-0.003705378393877687,0.1416,-1.0757297308988196,-0.006677687603107254,0.006646549697165212,0.2832,0.5664,False
d,0.2,Controls,0.0010654855866001763,0.6897,0.49105247004893343,-0.004412704538784969,0.004379611877526971,0.6206,0.6206,False
d,0.2,Coma,-0.0032642533292085232,0.1252,-1.1549236195342338,-0.005544240749330446,0.00555594160423563,0.2504,0.5008,False
d,0.25,Controls,0.0008959721063933427,0.6778,0.4575537600619346,-0.003885022433300375,0.003819231198037352,0.6444000000000001,0.6444000000000001,False
d,0.25,Coma,-0.002872848299819598,0.1213,-1.163792225747991,-0.004894400446111782,0.004905741734458706,0.2426,0.4852,False
d,0.3,Controls,0.0007943495235979352,0.6692,0.4370320155115558,-0.003414889272844926,0.0035074295451595996,0.6616,0.6616,False
d,0.3,Coma,-0.0026114026511197858,0.1243,-1.1501844334601912,-0.004433320775175592,0.004444041630714681,0.2486,0.4972,False
d,0.35,Controls,0.0007131685235339694,0.6743,0.4433316017929695,-0.003152701412336382,0.0031401451241340264,0.6514,0.6514,False
d,0.35,Coma,-0.0023298654836337567,0.1298,-1.1106349530800779,-0.004119998935250017,0.004061985314277177,0.2596,0.5192,False
d,0.4,Controls,0.0006620675380824538,0.6716,0.4354270343610965,-0.0030500260176243546,0.0029951366811002246,0.6568,0.6568,False
d,0.4,Coma,-0.002199771564963981,0.1333,-1.102585458508008,-0.0038784183405920457,0.004026152451520213,0.2666,0.5332,False
d,0.45,Controls,0.0006528859805843875,0.6629,0.4250258545988492,-0.002878135862973039,0.0029728483211542023,0.6741999999999999,0.6741999999999999,False
d,0.45,Coma,-0.0020493694997957557,0.144,-1.0558681405368842,-0.0037690086418212,0.0037962019831025142,0.288,0.576,False
d,0.5,Controls,0.0006123714312214419,0.667,0.4259505700118972,-0.002882156789951571,0.002857202274715083,0.6659999999999999,0.6659999999999999,False
d,0.5,Coma,-0.001982634692309241,0.1454,-1.058079068829693,-0.0036999622363193116,0.003649633562260384,0.2908,0.5816,False
