Cost,Coefficient,R^2,Pearson_r,Pearson_p,Spearman_r,Spearman_p
0.03,0.030885293769382927,0.0038040890386266124,0.06167729759503613,0.22366369094309754,0.03797752265442838,0.45396402984461104
0.05,0.0156493461101978,0.0009226334717271634,0.03037488225042575,0.5492798370554309,0.013499583769990392,0.7901664478925698
0.1,-0.00949703737680684,0.00032021563157746957,-0.017894569890822335,0.7242851809791192,-0.022917387274522794,0.6514343425274951
0.15,-0.024029803889634122,0.0018122116830464607,-0.04257007966925165,0.40121437438402807,-0.04281493810487626,0.3985089043186164
0.2,-0.029710031869867468,0.002412970004266879,-0.0491219910454255,0.33264517828970214,-0.04291645648599152,0.3973904327525136
0.25,-0.03150553541440125,0.002393299154453299,-0.048921356833731604,0.33462601533481506,-0.04337835743532838,0.39232532495688166
0.3,-0.029395780788454225,0.0018212444219041224,-0.04267604037283705,0.40004225614476147,-0.03829226416827533,0.45022903926334346
0.35,-0.02813387796583443,0.0014496706692008754,-0.03807454095850599,0.4528108761613847,-0.03299247575862605,0.5153871381411184
0.4,-0.02077179638995606,0.0006947908537842107,-0.02635888567038023,0.6033181518212307,-0.025589488354775765,0.6139367854136029
0.45,-0.011459434066545732,0.00018323465294234342,-0.013536419502305191,0.7896072735717903,-0.01973182369672788,0.6973055609036439
0.5,0.005338503713945624,3.476359590248723e-05,0.0058960661379098556,0.9074822282073814,-0.0024661065924362156,0.9612316548362954
