Cost,Coefficient,R^2,Pearson_r,Pearson_p,Spearman_r,Spearman_p
0.05,-0.2073488068950089,0.11045059630411602,-0.33234108428558157,0.0002219034428670855,-0.3013311065134482,0.0008678548702045543
0.1,-0.24043217450224466,0.12781409101996355,-0.3575109662932922,6.563793758631231e-05,-0.3666388324873153,4.111999795815111e-05
0.15,-0.27270122549588083,0.13424179193257246,-0.3663902181180229,4.1654945558628356e-05,-0.3627124920978656,5.0369770283893715e-05
0.2,-0.2586988817953427,0.11251309297888379,-0.33542971391766124,0.0001921494769854463,-0.33261642875535896,0.00021908704925500478
0.25,-0.24729239251482338,0.09168259060654449,-0.3027913317889807,0.0008165241178658111,-0.2992735948173583,0.0009452021323209228
0.3,-0.25172263504195985,0.09091066291895111,-0.3015139514499311,0.0008612694987095912,-0.30649807539799134,0.0006984583179529006
0.35,-0.23979639911172332,0.07689981140431756,-0.27730815243031937,0.0022637031269358543,-0.2868214431980012,0.001563937746291035
0.4,-0.2519617624635179,0.08121091427804483,-0.2849752871356479,0.0016819771509577201,-0.27945391810908105,0.002084869027832784
0.45,-0.24406034153902545,0.07383731207144317,-0.2717302192827349,0.0027952734234987097,-0.26783177191393964,0.0032310134448487538
0.5,-0.2407023861866071,0.0675942025377021,-0.25998885079499495,0.0042971436462772095,-0.25836247231500015,0.004554158724082786
