Cost,Coefficient,R^2,Pearson_r,Pearson_p,Spearman_r,Spearman_p
0.05,-0.026053123045264085,0.002348254457115173,-0.04845879132949308,0.6520171127283406,-0.12391730901123962,0.2472833723105603
0.1,-0.032003358259239584,0.0034094020719721563,-0.058390085391033825,0.5867663824270757,-0.05564398743605239,0.6045106146700111
0.15,-0.0340735783052508,0.003979085206002653,-0.06307999053584819,0.5570236179967767,-0.01953557261855961,0.8558101598962888
0.2,-0.04427801713785755,0.005485221319752931,-0.07406228000644483,0.49033689114460194,-0.028086348818232843,0.7938828249144896
0.25,-0.04798601532674029,0.0058353522486582765,-0.07638947734248702,0.47676832249849244,-0.02294946606407707,0.830958596920039
0.3,-0.04516869419236988,0.004699097822894904,-0.06854996588543978,0.5232728905913681,-0.02597059900161334,0.8091030379356633
0.35,-0.0749029524749384,0.010904634135689095,-0.10442525621557894,0.3301135631296325,-0.06401144034484835,0.5512035654620882
0.4,-0.10445543949880227,0.020409082309169935,-0.14286035947445225,0.18169600975682346,-0.11170507069753255,0.29732264005794873
0.45,-0.11451564990267761,0.020587303022472803,-0.14348276210915645,0.17978065947746755,-0.08949684624810314,0.4042520253699312
0.5,-0.11937317696539361,0.020025053570259743,-0.14150990626192883,0.1859029018964833,-0.06447137135789613,0.5483406190975307
