Cost,Mean_FO_Correlation,95%_CI_FO,Mean_UO_Correlation,95%_CI_UO,Difference_FO-UO,95%_CI_Diff
0.05,-0.2589603129323479,[-0.3791735 -0.0954112],-0.0631901282379214,[-0.17722427  0.14031787],-0.19577018469442647,[-0.42634895  0.01022253]
0.1,-0.27018351254698186,[-0.38879755 -0.10641803],-0.00935306828470422,[-0.13380179  0.16185539],-0.26083044426227764,[-0.464889   -0.06284514]
0.15,-0.27299055484911083,[-0.38199442 -0.12652864],-0.005663861140988114,[-0.13664982  0.15203847],-0.26732669370812273,[-0.46352279 -0.06833468]
0.2,-0.24544393660990504,[-0.36410993 -0.09424706],-0.013233856828890046,[-0.15311649  0.17092702],-0.23221007978101496,[-0.45237779 -0.02189496]
0.25,-0.21851674590595335,[-0.33088237 -0.07548746],-0.030853419616050537,[-0.18876523  0.18051897],-0.18766332628990282,[-0.42664453  0.01981488]
0.3,-0.21962450733134198,[-0.3261758  -0.07647229],-0.019125302712221678,[-0.18023338  0.2014033 ],-0.2004992046191203,[-0.45035856  0.0116885 ]
0.35,-0.1990324161003965,[-0.31089072 -0.05705814],-0.015022680108252143,[-0.18224748  0.20027575],-0.18400973599214432,[-0.42464454  0.03554744]
0.4,-0.20807270288139526,[-0.32249183 -0.06268791],-0.011878327102037439,[-0.16790357  0.18719583],-0.19619437577935778,[-0.43313214  0.01591691]
0.45,-0.1984038918452061,[-0.318219   -0.04444636],-0.020314123746317393,[-0.16553659  0.16899553],-0.1780897680988887,[-0.40977802  0.03193493]
0.5,-0.19040208993499302,[-0.30879207 -0.03286034],-0.00975298961651866,[-0.14143882  0.17388821],-0.18064910031847434,[-0.40043503  0.02686532]
