Cost,Coefficient,R^2,Pearson_r,Pearson_p,Spearman_r,Spearman_p
0.03,-0.0008243498974517385,2.6931251052575433e-06,-0.0016410743752775549,0.9805584676755931,-0.0048016820631457,0.9431575279008155
0.05,0.019286765887933308,0.0013812470461115334,0.037165132128269114,0.5809034443141506,0.04676765802197665,0.48715212175419187
0.1,0.01929347708235088,0.001314177038826192,0.036251579811455284,0.5902414025926622,0.03588214049486096,0.594037056725667
0.15,0.008271298999280266,0.00022599192229222353,0.015033027715406572,0.8233471825675241,0.011749164667671322,0.8614941865585295
0.2,0.0026828803097987005,2.1558869378157652e-05,0.004643152956596015,0.9450311986522576,0.004320103753910341,0.948850272199259
0.25,0.009238284858616051,0.00022826929203489943,0.015108583389417757,0.8224739909287135,0.007869731993558416,0.9069697930540219
0.3,0.004102544856554429,4.111645580340273e-05,0.0064122114596597,0.9241420035529281,0.0073833141752785,0.9126962683226261
0.35,0.005463241837036971,6.494669806245135e-05,0.00805895142449592,0.9047434404458479,0.012427933863827947,0.853579834345664
0.4,0.013427828571934837,0.0003526234873458822,0.018778271681553507,0.780346079216007,0.017735433154378828,0.7922586248498908
0.45,0.0088635729438301,0.00013788948931203748,0.011742635535179902,0.8615703837440708,0.00945720235837736,0.8883158221984786
0.5,0.00015325187452688114,3.6614075216157005e-08,0.00019134804731577026,0.9977329120378419,0.0007996876997697807,0.9905255240959228
