region_idx,region_name,mean_Controls,mean_Coma,U_statistic,p_value,fdr_sig
341,G_Fusiform-6-R,31.3,22.3846,172.0,0.12600656619150552,False
342,G_Fusiform-7-L,28.65,20.3846,159.5,0.28385527735626803,False
343,G_Fusiform-7-R,18.0,15.9231,174.0,0.10766751955760023,False
344,N_Amygdala-1-L,2.35,6.0,137.5,0.7807168404371332,False
345,N_Amygdala-1-R,2.9,6.3846,114.5,0.5425664123015033,False
346,N_Caudate-1-L,1.65,2.0,108.0,0.3724337870229876,False
347,N_Caudate-1-R,1.25,1.8462,75.5,0.019243273071247607,False
348,N_Caudate-2-L,1.25,1.3077,117.5,0.3754411229777753,False
349,N_Caudate-2-R,1.85,1.2308,164.5,0.1421779509409307,False
350,N_Caudate-3-L,4.15,4.6923,130.0,1.0,False
351,N_Caudate-3-R,4.05,9.0,91.5,0.1474229045887608,False
352,N_Caudate-4-L,7.5,4.1538,156.5,0.3339395631801949,False
353,N_Caudate-4-R,4.6,3.5385,107.5,0.38719558395251763,False
354,N_Caudate-5-L,16.7,4.4615,209.5,0.003473393690533886,True
355,N_Caudate-5-R,14.3,13.6154,135.0,0.8677791102552782,False
356,N_Caudate-6-L,7.6,3.0769,178.0,0.0729993349300405,False
357,N_Caudate-6-R,6.0,8.7692,121.5,0.7616736013214557,False
358,N_Caudate-7-L,3.7,1.9231,180.5,0.04296520345228511,False
359,N_Caudate-7-R,5.0,3.6154,169.0,0.1347638801607582,False
360,N_Pallidum-1-L,1.0,1.0,130.0,1.0,False
361,N_Pallidum-1-R,1.05,1.1538,116.5,0.33631070592166923,False
362,N_Putamen-2-L,10.0,5.0,195.0,0.01688342923967895,False
363,N_Putamen-2-R,9.4,4.9231,187.5,0.03469043700979084,False
364,N_Putamen-3-L,11.75,5.8462,178.5,0.07584184176950312,False
365,N_Putamen-3-R,10.55,4.3846,175.5,0.09320686327268349,False
366,N_Thalamus-1-L,3.95,5.7692,119.0,0.684959464832362,False
367,N_Thalamus-1-R,2.5,7.4615,128.0,0.9522732191547099,False
368,N_Thalamus-2-L,12.35,5.7692,179.0,0.07047881244791113,False
369,N_Thalamus-2-R,7.1,6.0769,169.0,0.1471036726002328,False
370,N_Thalamus-3-L,1.25,2.9231,80.0,0.02904339593367929,False
371,N_Thalamus-3-R,1.7,2.3846,104.0,0.22988023195548135,False
372,N_Thalamus-4-L,8.25,14.6154,95.5,0.20497763338888253,False
373,N_Thalamus-4-R,9.95,10.3077,158.0,0.3055257090025767,False
374,N_Thalamus-5-L,21.6,18.1538,166.0,0.18992334968475733,False
375,N_Thalamus-5-R,18.05,17.5385,141.5,0.6848213712956573,False
